id,hz,py,hv,level,formula,meaning,words
r-ban,班,bān,ban,HSK1,___+班,hoạt động đi làm / tan làm,"上班, 下班"
r-ban2,半,bàn,bán,HSK1,半+___,một nửa khoảng thời gian nhất định,半年
r-ban2,半,bàn,bán,HSK1,___+半,phân nửa / một phần hai,一半
r-bao,包,bāo,bao,HSK1,包+___,đồ ăn bọc nhân,包子
r-bao,包,bāo,bao,HSK1,___+包,thực phẩm dạng bánh làm bằng bột mỳ,面包
r-bian,边,biān,biên,HSK1,___+边,phương hướng / vị trí,"上边, 下边, 东边, 前边, 北边, 南边, 后边, 外边, 西边, 这边, 那边, 里边"
r-bing,病,bìng,bệnh,HSK1,病+___,người liên quan bệnh,病人
r-bing,病,bìng,bệnh,HSK1,___+病,động từ liên quan đến bệnh,"生病, 看病"
r-che,车,chē,xa,HSK1,车+___,vị trí / vật liên quan xe,"车上, 车票"
r-che,车,chē,xa,HSK1,___+车,loại xe / hoạt động với xe,"上车, 下车, 出租车, 开车, 汽车, 火车"
r-chi,吃,chī,ngật,HSK1,吃+___,hành động ăn uống,吃饭
r-chi,吃,chī,ngật,HSK1,___+吃,cảm nhận khi ăn,好吃
r-chu,出,chū,xuất,HSK1,出+___,hành động hướng ra ngoài,"出来, 出租车"
r-ci,次,cì,thứ,HSK1,___+次,thứ tự lần lượt,"上次, 下次"
r-da,打,dǎ,đả,HSK1,打+___,thực hiện hành động,"打球, 打电话"
r-da2,大,dà,đại,HSK1,大+___,chỉ cơ sở học tập hoặc một nhóm người,"大学, 大学生, 大家"
r-da2,大,dà,đại,HSK1,___+大,phủ định kích thước / tính chất,不大
r-dao,到,dào,đến,HSK1,___+到,bổ ngữ kết quả (đạt được),"听到, 回到, 找到, 来到, 看到"
r-de,的,de,đích,HSK1,___+的,trợ từ / hậu tố tình thái,"有的, 真的"
r-dian,店,diàn,điếm,HSK1,___+店,cửa hàng / địa điểm kinh doanh,"书店, 商店, 饭店"
r-dian2,电,diàn,điện,HSK1,电+___,thiết bị / phương tiện điện tử,"电脑, 电视, 电视机, 电话"
r-dian3,点,diǎn,điểm,HSK1,___+点,một chút / số lượng nhỏ,"一点儿, 有点儿"
r-fan,饭,fàn,phạn,HSK1,饭+___,địa điểm ăn uống,"饭店, 饭馆"
r-fan,饭,fàn,phạn,HSK1,___+饭,"liên quan đến ăn uống, bữa ăn","午饭, 早饭, 晚饭, 吃饭, 米饭"
r-ge,个,gè,cá,HSK1,___+个,đại từ chỉ định,"哪个, 这个, 那个"
r-gong,工,gōng,công,HSK1,工+___,liên quan đến công việc,"工人, 工作, 工作"
r-guo,果,guǒ,quả,HSK1,___+果,loại trái cây,"水果, 苹果"
r-guo2,国,guó,quốc,HSK1,国+___,phạm vi bên ngoài quốc gia,国外
r-guo2,国,guó,quốc,HSK1,___+国,tên nước cụ thể,中国
r-han,汉,hàn,hán,HSK1,汉+___,văn hóa / ngôn ngữ Trung Quốc,"汉字, 汉语"
r-hao,好,hǎo,hảo,HSK1,好+___,đánh giá chất lượng cảm nhận,"好吃, 好听, 好玩儿, 好看"
r-hua,话,huà,thoại,HSK1,___+话,giao tiếp / thiết bị giao tiếp,"打电话, 电话, 说话"
r-hui,回,huí,hồi,HSK1,回+___,hành động quay về một địa điểm nào đó,"回到, 回家"
r-ji,机,jī,cơ,HSK1,机+___,địa điểm / cơ sở,机场
r-ji,机,jī,cơ,HSK1,___+机,thiết bị / máy móc,"手机, 电视机, 飞机"
r-jia,家,jiā,gia,HSK1,家+___,phạm vi gia đình / nhà,"家里, 家人"
r-jia,家,jiā,gia,HSK1,___+家,hoạt động liên quan nhà,"回家, 在家"
r-jian,见,jiàn,kiến,HSK1,见+___,"gặp mặt, gặp gỡ",见面
r-jian,见,jiàn,kiến,HSK1,___+见,bổ ngữ kết quả cảm nhận,"听见, 看见"
r-jin,今,jīn,kim,HSK1,今+___,thời điểm hiện tại,"今天, 今年"
r-kan,看,kàn,khan,HSK1,看+___,hành động liên quan đến thị giác,"看到, 看见, 看病"
r-kan,看,kàn,khan,HSK1,___+看,"cảm nhận, đánh giá về ngoại hình",好看
r-ke,课,kè,khóa,HSK1,课+___,tài liệu / vật dụng học tập,"课文, 课本"
r-ke,课,kè,khóa,HSK1,___+课,hoạt động đi học / tan học,"上课, 下课"
r-lai,来,lái,lai,HSK1,来+___,đến đâu đó,来到
r-lai,来,lái,lai,HSK1,___+来,bổ ngữ hướng (lại gần),"出来, 起来, 进来"
r-li,里,lǐ,lý,HSK1,里+___,phía trong / vị trí bên trong,里边
r-li,里,lǐ,lý,HSK1,___+里,vị trí / địa điểm,"哪里, 家里, 这里, 那里"
r-lou,楼,lóu,lâu,HSK1,楼+___,vị trí trong tòa nhà,"楼上, 楼下"
r-lou,楼,lóu,lâu,HSK1,___+楼,tòa nhà / công trình,教学楼
r-men,们,men,môn,HSK1,___+们,hậu tố số nhiều,"他们, 你们, 她们, 它们"
r-mian,面,miàn,diện,HSK1,面+___,thực phẩm từ bột mì,"面包, 面条"
r-ming,明,míng,minh,HSK1,明+___,"thời điểm, thời gian trong tương lai","明天, 明年"
r-n,女,nǚ,nữ,HSK1,女+___,phái nữ,"女人, 女儿, 女士, 女朋友"
r-na,那,nà,na,HSK1,那+___,chỉ định từ xa (đó / kia),"那个, 那些, 那儿, 那边, 那里"
r-na2,哪,nǎ,na,HSK1,哪+___,từ để hỏi về vị trí (nào / đâu),"哪个, 哪些, 哪儿, 哪里"
r-nan,男,nán,nam,HSK1,男+___,phái nam,"男人, 男朋友"
r-nian,年,nián,niên,HSK1,___+年,thời gian năm / niên hạn,"今年, 半年, 去年, 明年"
r-pengyou,朋友,péng yǒu,bằng hữu,HSK1,___+朋友,quan hệ bạn bè,"女朋友, 小朋友, 男朋友"
r-qi,起,qǐ,khởi,HSK1,起+___,hành động đứng dậy / thức dậy,"起床, 起来"
r-qi2,期,qī,kỳ,HSK1,___+期,thời gian / kỳ hạn,"日期, 星期, 星期天, 星期日"
r-qian,前,qián,tiền,HSK1,前+___,vị trí phía trước,"前边, 前面"
r-qing,请,qǐng,thỉnh,HSK1,请+___,lời mời / yêu cầu lịch sự,"请坐, 请进, 请问"
r-ren,人,rén,nhân,HSK1,___+人,loại người theo đặc điểm,"女人, 家人, 工人, 男人, 病人"
r-ri,日,rì,nhật,HSK1,日+___,thời gian / ngày tháng,日期
r-ri,日,rì,nhật,HSK1,___+日,ngày trong tuần,星期日
r-shang,上,shàng,thượng,HSK1,上+___,vị trí phía trên,上边
r-shang,上,shàng,thượng,HSK1,上+___,thời gian / thứ tự trước,"上午, 上次"
r-shang,上,shàng,thượng,HSK1,上+___,hành động bắt đầu / đi đến,"上学, 上班, 上课, 上车"
