topicId,wordId,order
t-hsk1-cumtucodinh,w-kaiwanxiao,0
t-hsk1-cumtucodinh,w-shenme,1
t-hsk1-cumtucodinh,w-ganshenme,2
t-hsk1-cumtucodinh,w-zenme,3
t-hsk1-cumtucodinh,w-zenmeyang,4
t-hsk1-cumtucodinh,w-duibuqi,5
t-hsk1-cumtucodinh,w-meishir,6
t-hsk1-cumtucodinh,w-meishenme,7
t-hsk1-cumtucodinh,w-meiguanxi,8
t-hsk1-cumtucodinh,w-youshihou,9
t-hsk1-cumtucodinh,w-xiexie,10
t-hsk1-cumtucodinh,w-bukeqi,11
t-hsk1-cumtucodinh,w-zaijian,12
t-hsk1-cumtucodinh,w-yixiar,13
t-hsk1-cumtucodinh,w-kou,14
t-hsk1-danhtucongviec,w-gongzuo,0
t-hsk1-danhtucongviec,w-shi,1
t-hsk1-danhtucongviec,w-wenti,2
t-hsk1-danhtucongviec,w-hao,3
t-hsk1-danhtudongvat,w-mao,0
t-hsk1-danhtudongvat,w-gou,1
t-hsk1-danhtuhientuongtunhien,w-tian,0
t-hsk1-danhtuhientuongtunhien,w-tianqi,1
t-hsk1-danhtuhientuongtunhien,w-xue,2
t-hsk1-danhtuhientuongtunhien,w-yu,3
t-hsk1-danhtuamthuc,w-cai,0
t-hsk1-danhtuamthuc,w-qingcai,1
t-hsk1-danhtuamthuc,w-cha,2
t-hsk1-danhtuamthuc,w-jidan,3
t-hsk1-danhtuamthuc,w-nai,4
t-hsk1-danhtuamthuc,w-niunai,5
t-hsk1-danhtuamthuc,w-shui,6
t-hsk1-danhtuchinguoi,w-laoshi,0
t-hsk1-danhtuchinguoi,w-ba,1
t-hsk1-danhtuchinguoi,w-baba,2
t-hsk1-danhtuchinguoi,w-di,3
t-hsk1-danhtuchinguoi,w-didi,4
t-hsk1-danhtuchinguoi,w-ge,5
t-hsk1-danhtuchinguoi,w-gege,6
t-hsk1-danhtuchinguoi,w-jie,7
t-hsk1-danhtuchinguoi,w-jiejie,8
t-hsk1-danhtuchinguoi,w-ma,9
t-hsk1-danhtuchinguoi,w-mama,10
t-hsk1-danhtuchinguoi,w-mei,11
t-hsk1-danhtuchinguoi,w-meimei,12
t-hsk1-danhtunoichon,w-gongsi,0
t-hsk1-danhtunoichon,w-chaoshi,1
t-hsk1-danhtunoichon,w-zhan,2
