wordId,rootId,order
w-yiban,r-ban2,0
w-bannian,r-ban2,0
w-shangban,r-ban,0
w-xiaban,r-ban,0
w-baozi,r-bao,0
w-mianbao,r-bao,0
w-shangbian,r-bian,0
w-xiabian,r-bian,0
w-dongbian,r-bian,0
w-qianbian,r-bian,0
w-beibian,r-bian,0
w-nanbian,r-bian,0
w-houbian,r-bian,0
w-waibian,r-bian,0
w-xibian,r-bian,0
w-zhebian,r-bian,0
w-nabian,r-bian,0
w-libian,r-bian,0
w-shengbing,r-bing,0
w-bingren,r-bing,0
w-kanbing,r-bing,0
w-shangche,r-che,0
w-xiache,r-che,0
w-chuzuche,r-che,0
w-kaiche2,r-che,0
w-qiche,r-che,0
w-huoche,r-che,0
w-cheshang,r-che,0
w-chepiao,r-che,0
w-chifan,r-chi,0
w-haochi,r-chi,0
w-chulai,r-chu,0
w-chuzuche2,r-chu,0
w-shangci,r-ci,0
w-xiaci,r-ci,0
w-buda2,r-da2,0
w-daxue,r-da2,0
w-daxuesheng,r-da2,0
w-dajia,r-da2,0
w-daqiu,r-da,0
w-dadianhua,r-da,0
w-tingdao,r-dao,0
w-huidao,r-dao,0
w-zhaodao2,r-dao,0
w-laidao,r-dao,0
w-kandao,r-dao,0
w-youde,r-de,0
w-zhende,r-de,0
w-shudian,r-dian,0
w-shangdian,r-dian,0
w-fandian,r-dian,0
w-diannao,r-dian2,0
w-dianshi,r-dian2,0
w-dianshiji,r-dian2,0
w-dianhua,r-dian2,0
w-yidianr,r-dian3,0
w-youdianr,r-dian3,0
w-wufan,r-fan,0
w-chifan2,r-fan,0
w-zaofan,r-fan,0
w-wanfan,r-fan,0
w-mifan,r-fan,0
w-fandian2,r-fan,0
w-fanguan,r-fan,0
w-nage,r-ge,0
w-zhege,r-ge,0
w-nage2,r-ge,0
w-gongren,r-gong,0
w-gongzuo2,r-gong,0
w-zhongguo2,r-guo2,0
w-guowai,r-guo2,0
w-shuiguo,r-guo,0
w-pingguo,r-guo,0
w-hanzi,r-han,0
w-hanyu,r-han,0
w-haochi2,r-hao,0
w-haoting,r-hao,0
w-haowanr,r-hao,0
w-haokan,r-hao,0
w-dadianhua2,r-hua,0
